image_id,filename,relative_path,width_px,height_px,aspect_ratio,orientation,format_class,creative_family_guess,dominant_motif_guess,headline_style_guess,cta_style_guess,palette_guess,status
img_001,1080x1080___SafeZone-1-85028ec6-dec6-4380-bf26-dc7f73957131.png,00_source_images/1080x1080___SafeZone-1-85028ec6-dec6-4380-bf26-dc7f73957131.png,1024,535,1.914,landscape,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_002,1080x1080___SafeZone-10-178b6892-faf1-4689-bb67-ba788e10e196.png,00_source_images/1080x1080___SafeZone-10-178b6892-faf1-4689-bb67-ba788e10e196.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_003,1080x1080___SafeZone-11-716d0a01-5a28-49c3-ac75-1a2dd1b719d1.png,00_source_images/1080x1080___SafeZone-11-716d0a01-5a28-49c3-ac75-1a2dd1b719d1.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_004,1080x1080___SafeZone-12-7a4ab8c3-97cf-42b7-84b8-a551bc3cef76.png,00_source_images/1080x1080___SafeZone-12-7a4ab8c3-97cf-42b7-84b8-a551bc3cef76.png,1024,535,1.914,landscape,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_005,1080x1080___SafeZone-13-eda45253-dc51-4d97-accc-53ed01dda628.png,00_source_images/1080x1080___SafeZone-13-eda45253-dc51-4d97-accc-53ed01dda628.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_006,1080x1080___SafeZone-14-47b8243b-b5b7-4638-a77a-a65dafad7541.png,00_source_images/1080x1080___SafeZone-14-47b8243b-b5b7-4638-a77a-a65dafad7541.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_007,1080x1080___SafeZone-15-134e6480-6231-4389-bfec-b12802fe7023.png,00_source_images/1080x1080___SafeZone-15-134e6480-6231-4389-bfec-b12802fe7023.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_008,1080x1080___SafeZone-16-79162d01-9c9c-412b-903d-91eee5d02280.png,00_source_images/1080x1080___SafeZone-16-79162d01-9c9c-412b-903d-91eee5d02280.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_009,1080x1080___SafeZone-17-3ac8b3bd-ba35-4982-a696-76a03a9be19a.png,00_source_images/1080x1080___SafeZone-17-3ac8b3bd-ba35-4982-a696-76a03a9be19a.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_010,1080x1080___SafeZone-18-04b2cd81-8fb5-467c-b9b6-c5bda9f8022b.png,00_source_images/1080x1080___SafeZone-18-04b2cd81-8fb5-467c-b9b6-c5bda9f8022b.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_011,1080x1080___SafeZone-19-f17cc9c4-e08f-43db-bd5c-a3fd37bc30d2.png,00_source_images/1080x1080___SafeZone-19-f17cc9c4-e08f-43db-bd5c-a3fd37bc30d2.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_012,1080x1080___SafeZone-2-ea72a0eb-45a2-4084-a13e-0e91d6a22968.png,00_source_images/1080x1080___SafeZone-2-ea72a0eb-45a2-4084-a13e-0e91d6a22968.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_013,1080x1080___SafeZone-20-9a1daf6a-3b83-405f-827c-45e4606efa5e.png,00_source_images/1080x1080___SafeZone-20-9a1daf6a-3b83-405f-827c-45e4606efa5e.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_014,1080x1080___SafeZone-2053ae45-b52c-40a5-a2f6-bb94cc88fdee.png,00_source_images/1080x1080___SafeZone-2053ae45-b52c-40a5-a2f6-bb94cc88fdee.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_015,1080x1080___SafeZone-21-8d6771de-125b-4e88-a5be-7ddcd7ee5d55.png,00_source_images/1080x1080___SafeZone-21-8d6771de-125b-4e88-a5be-7ddcd7ee5d55.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_016,1080x1080___SafeZone-22-0068cf6a-b15a-40cd-9759-e62889206012.png,00_source_images/1080x1080___SafeZone-22-0068cf6a-b15a-40cd-9759-e62889206012.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_017,1080x1080___SafeZone-3-eec5aa53-d252-4422-86a9-2f8a38451960.png,00_source_images/1080x1080___SafeZone-3-eec5aa53-d252-4422-86a9-2f8a38451960.png,1024,535,1.914,landscape,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_018,1080x1080___SafeZone-4-96ad73c1-aa25-4c40-a060-afac1c1ad734.png,00_source_images/1080x1080___SafeZone-4-96ad73c1-aa25-4c40-a060-afac1c1ad734.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_019,1080x1080___SafeZone-5-53598c7c-3631-4900-84a1-db2fd8838cd3.png,00_source_images/1080x1080___SafeZone-5-53598c7c-3631-4900-84a1-db2fd8838cd3.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_020,1080x1080___SafeZone-6-dca468b6-48a1-4f90-a6d1-405233786d57.png,00_source_images/1080x1080___SafeZone-6-dca468b6-48a1-4f90-a6d1-405233786d57.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_021,1080x1080___SafeZone-7-c83e90e9-ac70-469b-bac2-7d11358cc167.png,00_source_images/1080x1080___SafeZone-7-c83e90e9-ac70-469b-bac2-7d11358cc167.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_022,1080x1080___SafeZone-8-ac255540-6c05-4439-8b9a-c3699a148d7f.png,00_source_images/1080x1080___SafeZone-8-ac255540-6c05-4439-8b9a-c3699a148d7f.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_023,1080x1080___SafeZone-9-058035de-f7e1-4e6d-812e-d8bcdf005bb0.png,00_source_images/1080x1080___SafeZone-9-058035de-f7e1-4e6d-812e-d8bcdf005bb0.png,1024,1024,1.0,square,square_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_024,1080x1350___SafeZone-1-c15c418f-0bb9-46ff-9c25-390f92db1d7b.png,00_source_images/1080x1350___SafeZone-1-c15c418f-0bb9-46ff-9c25-390f92db1d7b.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_025,1080x1350___SafeZone-10-7484316b-04ca-4a91-a39e-4e8ebafab130.png,00_source_images/1080x1350___SafeZone-10-7484316b-04ca-4a91-a39e-4e8ebafab130.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_026,1080x1350___SafeZone-11-e9a22d8d-9e9a-4887-bed9-05712b561f8f.png,00_source_images/1080x1350___SafeZone-11-e9a22d8d-9e9a-4887-bed9-05712b561f8f.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_027,1080x1350___SafeZone-12-4d1037ea-6cb4-49f8-aa3d-2c7de0f9efb8.png,00_source_images/1080x1350___SafeZone-12-4d1037ea-6cb4-49f8-aa3d-2c7de0f9efb8.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
img_028,1080x1350___SafeZone-13-30fcc5fc-a9c4-49bf-949d-89aea007945f.png,00_source_images/1080x1350___SafeZone-13-30fcc5fc-a9c4-49bf-949d-89aea007945f.png,819,1024,0.7998,portrait,portrait_feed,product_ui_and_proof_portfolio,calendar_ui_guidebook_or_growth_claim,question_led_or_benefit_led,rounded_high_contrast_button,hostfully_blue_mint_yellow_white,active
