campaign.resourceName,campaign.name,adGroup.resourceName,adGroup.name,metrics.clicks,metrics.conversions,metrics.ctr,metrics.impressions,adGroupAd.resourceName,adGroupAd.ad.resourceName,adGroupAd.ad.id,asset.resourceName,asset.textAsset.text,asset.id,adGroupAdAssetView.resourceName,adGroupAdAssetView.fieldType,adGroupAdAssetView.performanceLabel,asset.name,utm_campaign_norm,roi_priority_weight
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,58,1,0.03090037293553543,1877,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/297834518142,"The leading property management software for Airbnb, VRBO, and other rental properties.",297834518142,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~297834518142~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,56,0,0.03796610169491525,1475,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/337426327261,"The leading property management software for Airbnb, VRBO, and other letting properties.",337426327261,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~337426327261~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,42,1,0.029085872576177285,1444,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/297834518259,{KeyWord:Short-Term Rental Software},297834518259,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~297834518259~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596189,ca-us_brand_exact,745,22.75,0.5576347305389222,1336,customers/2565189582/adGroupAds/193498596189~798968901280,customers/2565189582/ads/798968901280,798968901280,customers/2565189582/assets/1476017562,Hostfully,1476017562,customers/2565189582/adGroupAdAssetViews/193498596189~798968901280~1476017562~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,50,1,0.040032025620496396,1249,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/340619883704,{KeyWord:Short-Term Letting Software},340619883704,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~340619883704~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596189,ca-us_brand_exact,633,21.75,0.5192780968006563,1219,customers/2565189582/adGroupAds/193498596189~798968901280,customers/2565189582/ads/798968901280,798968901280,customers/2565189582/assets/297834518142,"The leading property management software for Airbnb, VRBO, and other rental properties.",297834518142,customers/2565189582/adGroupAdAssetViews/193498596189~798968901280~297834518142~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23657942340,ca-us_pms_search,customers/2565189582/adGroups/191309906541,ca-us_pms_phrase,34,1,0.030881017257039057,1101,customers/2565189582/adGroupAds/191309906541~800782444013,customers/2565189582/ads/800782444013,800782444013,customers/2565189582/assets/297834518250,Optimize your short-term rentals with Hostfully’s rental management software.,297834518250,customers/2565189582/adGroupAdAssetViews/191309906541~800782444013~297834518250~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/22161538996,Hostfully - Search - Brand - US/CAN,customers/2565189582/adGroups/175488384442,Brand Core,379,8,0.38360323886639675,988,customers/2565189582/adGroupAds/175488384442~730292443612,customers/2565189582/ads/730292443612,730292443612,customers/2565189582/assets/1476017562,Hostfully,1476017562,customers/2565189582/adGroupAdAssetViews/175488384442~730292443612~1476017562~HEADLINE,HEADLINE,NOT_APPLICABLE,,Hostfully - Search - Brand - US/CAN,0.0
customers/2565189582/campaigns/23622401230,ca-us_brand_search,customers/2565189582/adGroups/193498596189,ca-us_brand_exact,438,7.5,0.4714747039827772,929,customers/2565189582/adGroupAds/193498596189~798968901280,customers/2565189582/ads/798968901280,798968901280,customers/2565189582/assets/305748566463,"Connect to 120+ industry partners for property cleaning, insurance & marketing automation.",305748566463,customers/2565189582/adGroupAdAssetViews/193498596189~798968901280~305748566463~DESCRIPTION,DESCRIPTION,NOT_APPLICABLE,,,
customers/2565189582/campaigns/23658078636,au-uk_pms_search,customers/2565189582/adGroups/195976497564,au-uk_pms_phrase,24,0,0.034334763948497854,699,customers/2565189582/adGroupAds/195976497564~800674113561,customers/2565189582/ads/800674113561,800674113561,customers/2565189582/assets/297834518115,All-in-One PMS Solution,297834518115,customers/2565189582/adGroupAdAssetViews/195976497564~800674113561~297834518115~HEADLINE,HEADLINE,NOT_APPLICABLE,,,
