utm_source,utm_campaign_norm,pipeline_amount,closed_won_amount,roi_priority_weight
google,,64.8,64.8,194.39999999999998
google,Hostfully - Search - Brand - US/CAN,0.0,0.0,0.0
google,Website,1488.0,0.0,1488.0
google,__PMAX_PLACEHOLDER__,0.0,0.0,0.0
meta,Meta-Sales-Guidebook_Retargeting,0.0,0.0,0.0
meta,Meta-Sales-PMS_Conversions-Retargeting,2400.0,0.0,2400.0
meta,[Leads] | hostfully | pt-br — meeting,840.0,0.0,840.0
meta,au-uk_pms_prospecting_website-conv,0.0,0.0,0.0
meta,au-uk_pms_retargeting_website-conv,0.0,0.0,0.0
meta,ca-us_pms_prospecting_website-conv,1500.0,0.0,1500.0
meta,ca-us_pms_retargeting_website-conv,0.0,0.0,0.0
