campaign_id,campaign_name,platform,monthly_budget,planned_start_date,planned_end_date,priority_tier,target_kpi_value,platform_campaign_id,platform_campaign_name,current_daily_budget,spend_mtd,leads_mtd,is_live,monthly_budget_playbook,redistribution_received,monthly_budget_effective,forecast_month_spend,pacing_delta_campaign,cpl_mtd,performance_score,performance_bucket,allocation_delta_daily,recommended_daily_budget,note,recommended_daily_budget_capped,daily_budget_delta
ca-us_pms_prospecting_website-conv,CA+US PMS Prospecting (LAL A/B),meta,16455.223880597016,2026-03-01,2026-03-31,A,45,6954321351868,ca-us_pms_prospecting_website-conv,1200.0,14169.07,31.0,True,14000.0,2455.2238805970146,16455.223880597016,23769.07,-7313.846119402984,457.0667741935484,0.1,poor,-531.4104671698276,668.5895328301724,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.10). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",840.0,-360.0
ca-us_pms_retargeting_website-conv,CA+US PMS Retargeting (30d visitors),meta,6229.477611940299,2026-03-01,2026-03-31,A,45,6954323673468,ca-us_pms_retargeting_website-conv,80.0,1321.22,7.0,True,5300.0,929.4776119402984,6229.477611940299,1961.22,4268.257611940298,188.74571428571429,0.23841600944581523,poor,-93.48873326084227,-13.488733260842267,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.24). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",56.0,-24.0
uk-au_pms_prospecting_website-conv,UK+AU PMS Prospecting,meta,6464.55223880597,2026-03-01,2026-03-31,A,45,6954326744668,au-uk_pms_prospecting_website-conv,450.0,4897.42,3.0,True,5500.0,964.5522388059702,6464.55223880597,8497.42,-2032.8677611940302,1632.4733333333334,0.1,poor,-531.4104671698276,-81.4104671698276,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.10). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",315.0,-135.0
uk-au_pms_retargeting_website-conv,UK+AU PMS Retargeting (30d visitors),meta,2350.7462686567164,2026-03-01,2026-03-31,B,55,6954326449668,au-uk_pms_retargeting_website-conv,40.0,601.13,3.0,True,2000.0,350.7462686567164,2350.7462686567164,921.13,1429.6162686567163,200.37666666666667,0.27448305690948716,poor,-70.53408239950257,-30.534082399502566,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.27). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",28.0,-12.0
ca-us_brand_search,CA+US Brand Search,google,5937.5,2026-03-01,2026-03-31,A,150,23622401230,ca-us_brand_search,427.27,3154.030531,24.0,True,5000.0,937.5,5937.5,6572.190531,-634.6905310000002,131.41793879166667,1.1413966873867272,good,0.0,427.27,Channel overspend vs monthly plan; no decrease on this campaign (outside low-performer pool for this run).,427.27,0.0
ca-us_pms_pmax,CA+US PMS Performance Max,google,13062.5,2026-03-01,2026-03-31,A,120,23619267350,ca-us_pms_pmax,1300.0,5736.3433,7.0,True,11000.0,2062.5,13062.5,16136.3433,-3073.8433000000005,819.4776142857144,0.14643475051432153,poor,-658.5503969472312,641.4496030527688,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.15). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",909.9999999999999,-390.0000000000001
uk-au_brand_search,UK+AU Brand Search,google,2375.0,2026-03-01,2026-03-31,A,150,23619221250,au-uk_brand_search,90.91,958.874413,5.0,True,2000.0,375.0,2375.0,1686.154413,688.845587,191.7748826,0.7821670803098173,poor,-23.08225593257383,67.82774406742617,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.78). Weaker CPL vs target takes a larger share of the reduction.",67.82774406742617,-23.08225593257383
uk-au_pms_pmax,UK+AU PMS Performance Max,google,7125.0,2026-03-01,2026-03-31,A,120,23619357777,au-uk_pms_pmax,472.72,2018.02269,2.0,True,6000.0,1125.0,7125.0,5799.78269,1325.21731,1009.011345,0.11892829609363807,poor,-998.4054101201949,-525.6854101201949,"Overspend vs plan; share of daily cut by inverse performance (bucket=poor, score=0.12). Weaker CPL vs target takes a larger share of the reduction. Guardrail: change capped by max_daily_change_pct.",330.904,-141.81600000000003
ca-us_spring-promo_prospecting_website-conv,CA+US Spring Cleaning Promo Prospecting,meta,0.0,2026-03-01,2026-03-31,B,50,6959407590068,—,0.0,0.0,0.0,False,2000.0,0.0,0.0,0.0,-2000.0,,,n/a,0.0,0.0,Not live this month — playbook dollars for this campaign are redistributed to live campaigns in the same channel (proportional to playbook share).,0.0,0.0
br_pms_prospecting_website-conv,Brazil PMS Prospecting,meta,0.0,2026-03-01,2026-03-31,B,55,6954327557268,—,0.0,0.0,0.0,False,1500.0,0.0,0.0,0.0,-1500.0,,,n/a,0.0,0.0,Not live this month — playbook dollars for this campaign are redistributed to live campaigns in the same channel (proportional to playbook share).,0.0,0.0
