campaign_id,campaign_name,platform,monthly_budget,planned_start_date,planned_end_date,priority_tier,target_kpi_value,platform_campaign_id,platform_campaign_name,current_daily_budget,spend_mtd,leads_mtd,clicks_mtd,impressions_mtd,is_live,monthly_budget_playbook,source,target_kpi_type,redistribution_received,monthly_budget_effective,forecast_month_spend,pacing_delta_campaign,cpl_mtd,ctr_mtd,cvr_mtd,cost_score,engagement_score,conversion_score,volume_score,performance_score,performance_bucket,pipeline_amount,closed_won_amount,roi_priority_weight,sql_count,allocation_delta_daily,recommended_daily_budget,allocation_share_pct,note,recommended_daily_budget_capped,daily_budget_delta,pct_budget_change
ca-us_pms_prospecting_website-conv,CA+US PMS Prospecting (LAL A/B),meta,16453.607063405234,2026-03-01,2026-03-31,A,45,6954321351868,ca-us_pms_prospecting_website-conv,500.0,15648.05,33.0,2553.0,294897.0,True,14000.0,playbook,,2453.607063405234,16453.607063405234,19148.05,-2694.4429365947653,474.18333333333334,0.008657259992471947,0.012925969447708578,0.1,0.9960353906378445,1.0,4.0,1.044207078127569,poor,27060.0,0.0,27060.0,10.0,-2.4182611874156,497.5817388125844,1.3866403702476464,"Overspend logic: channel cut allocated by inverse ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=1.04 (poor), pipeline=$27,060, closed_won=$0, roi_weight=27,060. Campaign share=1.4% of pool $-174.40 -> daily change $-2.42. Channel forecast $32,720.78 vs target $31,500.00.",448.26285714285734,-51.73714285714266,-10.347428571428532
ca-us_pms_retargeting_website-conv,CA+US PMS Retargeting (30d visitors),meta,6228.865531146267,2026-03-01,2026-03-31,A,45,6954323673468,ca-us_pms_retargeting_website-conv,50.0,1419.63,8.0,261.0,29910.0,True,5300.0,playbook,,928.865531146267,6228.865531146267,1769.63,4459.235531146267,177.45375,0.00872617853560682,0.03065134099616858,0.25358720229919063,1.0039646093621553,2.371299198885406,2.6666666666666665,1.1891670026841479,poor,1548.0,1548.0,4644.0,1.0,-27.2503307658133,22.7496692341867,15.625445646282973,"Overspend logic: channel cut allocated by inverse ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=1.19 (poor), pipeline=$1,548, closed_won=$1,548, roi_weight=4,644. Campaign share=15.6% of pool $-174.40 -> daily change $-27.25. Channel forecast $32,720.78 vs target $31,500.00. Guardrail: change capped by max_daily_change_pct.",0.0,-50.0,-100.0
uk-au_pms_prospecting_website-conv,UK+AU PMS Prospecting,meta,6463.917060623485,2026-03-01,2026-03-31,A,45,6954326744668,au-uk_pms_prospecting_website-conv,40.0,5543.75,3.0,1140.0,117201.0,True,5500.0,playbook,,963.9170606234846,6463.917060623485,5823.75,640.1670606234848,1847.9166666666667,0.009726879463485806,0.002631578947368421,0.1,1.1190972888101935,0.25,1.0,0.4688194577620387,poor,3498.0,540.0,4578.0,3.0,-35.785292043408866,4.214707956591134,20.51942563802342,"Overspend logic: channel cut allocated by inverse ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=0.47 (poor), pipeline=$3,498, closed_won=$540, roi_weight=4,578. Campaign share=20.5% of pool $-174.40 -> daily change $-35.79. Channel forecast $32,720.78 vs target $31,500.00. Guardrail: change capped by max_daily_change_pct.",0.0,-40.0,-100.0
uk-au_pms_retargeting_website-conv,UK+AU PMS Retargeting (30d visitors),meta,2350.5152947721763,2026-03-01,2026-03-31,B,55,6954326449668,au-uk_pms_retargeting_website-conv,20.0,667.35,3.0,182.0,10398.0,True,2000.0,playbook,,350.5152947721762,2350.5152947721763,807.35,1543.1652947721764,222.45000000000002,0.017503366031929216,0.016483516483516484,0.24724657226342997,2.0137979035225664,1.2752247752247754,1.0,0.9190654932680119,poor,1260.0,1260.0,3780.0,1.0,-41.93728752263686,-21.937287522636858,24.047003772871303,"Overspend logic: channel cut allocated by inverse ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=0.92 (poor), pipeline=$1,260, closed_won=$1,260, roi_weight=3,780. Campaign share=24.0% of pool $-174.40 -> daily change $-41.94. Channel forecast $32,720.78 vs target $31,500.00. Guardrail: change capped by max_daily_change_pct.",0.0,-20.0,-100.0
[Post Promovido] | pt-br,[Post Promovido] | pt-br,meta,0.0,,,,,6914921864468,[Post Promovido] | pt-br,0.0,153.2,0.0,153.0,41954.0,True,0.0,non-playbook,,0.0,0.0,153.2,-153.2,,0.0036468513133431856,0.0,1.0,0.4195776695677985,0.25,0.25,0.6214155339135597,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Channel overspend but this campaign held flat: outside low-performer cut set (or protected by relative ROI/performance) for this run. Guardrail: change capped by max_daily_change_pct.,5.0,5.0,0.0
[Leads] | hostfully | pt-br — meeting,[Leads] | hostfully | pt-br — meeting,meta,3.095050052838316,,,,,6896525103468,[Leads] | hostfully | pt-br — meeting,17.66,1241.68,3.0,712.0,99288.0,True,0.0,non-playbook,,3.095050052838316,3.095050052838316,1365.3000000000002,-1362.2049499471618,413.8933333333334,0.0071710579324792524,0.004213483146067416,1.0,0.825044817329567,0.32597037793667005,1.0,0.8302030390532475,unknown,2895.2,0.0,2895.2,2.0,-67.00597133786808,-49.34597133786808,38.42148457257466,"Overspend logic: channel cut allocated by inverse ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=0.83 (unknown), pipeline=$2,895, closed_won=$0, roi_weight=2,895. Campaign share=38.4% of pool $-174.40 -> daily change $-67.01. Channel forecast $32,720.78 vs target $31,500.00. Guardrail: change capped by max_daily_change_pct.",0.0,-17.66,-100.0
ca-us_brand_search,CA+US Brand Search,google,8906.25,2026-03-01,2026-03-31,A,150,23622401230,ca-us_brand_search,250.0,3736.18557,25.75,877.0,4194.0,True,5000.0,playbook,,3906.25,8906.25,5486.18557,3420.0644300000004,145.09458524271844,0.20910824988078208,0.02936145952109464,1.033808392980866,1.6915624187257081,1.7716573232549249,1.525925925925926,1.386746614126405,average,0.0,0.0,0.0,0.0,87.8708642857143,337.87086428571433,100.0,"Underspend logic: channel gap allocated by ROI-dominant weighting (85% ROI, 15% in-platform performance). Inputs: perf=1.39 (average), pipeline=$0, closed_won=$0, roi_weight=0. Campaign share=100.0% of pool $87.87 -> daily change $87.87. Channel forecast $27,884.90 vs target $28,500.00. Guardrail: change capped by max_daily_change_pct.",337.87086428571433,87.87086428571433,35.14834571428574
ca-us_pms_pmax,CA+US PMS Performance Max,google,19593.75,2026-03-01,2026-03-31,A,120,23619267350,ca-us_pms_pmax,400.0,7427.411082,8.0,2114.0,55444.0,True,11000.0,playbook,,8593.75,19593.75,10227.411081999999,9366.338918000001,928.42638525,0.03812856215280283,0.003784295175023652,0.1292509582950804,0.3084375812742918,0.25,0.4740740740740741,0.24096155859875568,poor,35226.8,1522.8,38272.4,10.0,0.0,400.0,0.0,Channel underspend but this campaign received no increase: outside high-performer set (or insufficient ROI/performance vs peers) for this run.,400.0,0.0,0.0
ca-us_spring-promo_prospecting_website-conv,CA+US Spring Cleaning Promo Prospecting,meta,0.0,2026-03-01,2026-03-31,B,50,6959407590068,—,0.0,0.0,0.0,0.0,0.0,False,2000.0,playbook,,0.0,0.0,0.0,-2000.0,,,,,,,,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not live this month — playbook dollars for this campaign are redistributed to live campaigns in the same channel (proportional to playbook share).,0.0,0.0,0.0
br_pms_prospecting_website-conv,Brazil PMS Prospecting,meta,0.0,2026-03-01,2026-03-31,B,55,6954327557268,—,0.0,0.0,0.0,0.0,0.0,False,1500.0,playbook,,0.0,0.0,0.0,-1500.0,,,,,,,,,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not live this month — playbook dollars for this campaign are redistributed to live campaigns in the same channel (proportional to playbook share).,0.0,0.0,0.0
