campaign_id,platform,platform_campaign_id,current_daily_budget,spend_mtd,leads_mtd,clicks_mtd,impressions_mtd,is_live,campaign_budget_id
ca-us_spring-promo_prospecting_website-conv,meta,6959407590068,100.0,0.0,0.0,0.0,0.0,False,
mx_pms_prospecting_website-conv,meta,6954329303868,54.54,0.0,0.0,0.0,0.0,False,
br_pms_prospecting_website-conv,meta,6954327557268,68.18,0.0,0.0,0.0,0.0,False,
au-uk_pms_prospecting_website-conv,meta,6954326744668,40.0,5543.75,3.0,1140.0,117201.0,True,
au-uk_pms_retargeting_website-conv,meta,6954326449668,20.0,667.35,3.0,182.0,10398.0,True,
ca-us_spring-promo_prospecting_website-conv - 1,meta,6954325898668,100.0,0.0,0.0,0.0,0.0,False,
ca-us_spring-promo_prospecting_website-conv,meta,6954325532468,100.0,0.0,0.0,0.0,0.0,False,
ca-us_guidebooks_prospecting_demo,meta,6954325093268,66.67,0.0,0.0,0.0,0.0,False,
ca-us_pms_retargeting_website-conv,meta,6954323673468,50.0,1419.63,8.0,261.0,29910.0,True,
ca-us_pms_prospecting_website-conv,meta,6954321351868,500.0,15648.05,33.0,2553.0,294897.0,True,
au-uk_pms_retargeting_website-conv,meta,6951390566668,90.91,0.0,0.0,0.0,0.0,False,
au-uk_pms_prospecting_website-conv,meta,6951380702068,250.0,0.0,0.0,0.0,0.0,False,
uk+au_pms_retargeting_website-conv,meta,6951113876268,76.92,0.0,0.0,0.0,0.0,False,
uk+au_pms_prospecting_website-conv,meta,6951112408268,211.54,0.0,0.0,0.0,0.0,False,
mx_pms_prospecting_website-conv,meta,6950607561068,54.54,0.0,0.0,0.0,0.0,False,
br_pms_prospecting_website-conv,meta,6950606860668,68.18,0.0,0.0,0.0,0.0,False,
ca-us_spring-promo_prospecting_website-conv,meta,6950606574068,100.0,0.0,0.0,0.0,0.0,False,
ca-us_guidebooks_prospecting_demo,meta,6950263435268,66.67,0.0,0.0,0.0,0.0,False,
ca-us_pms_retargeting_website-conv,meta,6950261966468,240.91,0.0,0.0,0.0,0.0,False,
ca-us_pms_prospecting_website-conv,meta,6950244092468,636.36,0.0,0.0,0.0,0.0,False,
Meta-Sales-Industry Report_Prospecting,meta,6941195367868,160.0,989.41,3.0,161.0,13762.0,False,
New Sales Campaign,meta,6938010063068,25.0,0.0,0.0,0.0,0.0,False,
Meta-Leads-Ebook_Downloads,meta,6936384661268,25.0,0.0,0.0,0.0,0.0,False,
Meta-Engagement-Boosted_Posts,meta,6922497287068,21.0,60.61,0.0,80.0,1107.0,False,
[Post Promovido] | pt-br,meta,6914921864468,0.0,153.2,0.0,153.0,41954.0,True,
Meta-Leads-PMS_Conversions-Manual-Broad,meta,6913423474668,140.0,0.0,0.0,0.0,0.0,False,
[Leads] | hostfully | pt-br — meeting,meta,6896525103468,17.66,1241.68,3.0,712.0,99288.0,True,
Meta-Sales-PMS_Conversions-Retargeting,meta,6894156598868,225.0,664.15,0.0,115.0,9893.0,False,
Meta-Leads-Guidebook_Conversions,meta,6894149906468,230.0,586.99,1.0,80.0,7738.0,False,
Meta-Sales-Guidebook_Retargeting,meta,6894145276468,105.0,0.0,0.0,0.0,0.0,False,
Meta-Sales-Webinar_Registrations,meta,6893093544468,238.0,0.0,0.0,0.0,0.0,False,
Meta-Sales-Webinar_Registration,meta,6893037053868,500.0,0.0,0.0,0.0,0.0,False,
Meta-Sales-Guidebook_Retargeting_Pardot,meta,6892336300468,182.0,0.0,0.0,0.0,0.0,False,
Meta-Leads-Guidebook_Conversions_Pardot,meta,6892315210868,182.0,0.0,0.0,0.0,0.0,False,
Meta-Leads-PMS_Conversions-Adv+,meta,6892300914668,300.0,0.0,0.0,0.0,0.0,False,
Meta-Leads-PMS_Conversions-Manual,meta,6891715059868,350.0,1352.34,23.0,431.0,30817.0,False,
Meta-Sales-Webinar_Registrations,meta,6891627428468,182.0,0.0,0.0,0.0,0.0,False,
[Leads] | hostfully | pt-br,meta,6891254236868,18.34,0.0,0.0,0.0,0.0,False,
Meta-Sales-PMS_Conversions-Retargeting_Pardot,meta,6883231658068,272.0,0.0,0.0,0.0,0.0,False,
PMS (Image) - US / CAN,meta,6876720791468,127.0,0.0,0.0,0.0,0.0,False,
Guidebooks Demo - US / CAN,meta,6863789382068,100.0,0.0,0.0,0.0,0.0,False,
Guidebooks Get Started Now - US / CAN,meta,6863269454868,100.0,0.0,0.0,0.0,0.0,False,
Webinar | Pricing Power | Video,meta,6862946151268,100.0,0.0,0.0,0.0,0.0,False,
Webinar | Pricing Power | Image,meta,6862251858068,100.0,0.0,0.0,0.0,0.0,False,
E-Book | The Vacation Rental Software Ecosystem,meta,6862233299468,30.0,0.0,0.0,0.0,0.0,False,
E-Book | Scale from 1 to 20 Properties,meta,6862178778668,30.0,0.0,0.0,0.0,0.0,False,
PMS (Audience Test) - US/CAN,meta,6861365716868,100.0,0.0,0.0,0.0,0.0,False,
PMS (Video) - US/CAN,meta,6797905147068,127.0,0.0,0.0,0.0,0.0,False,
ToFu- Dubai - Conversions - Prospecting - Demo Request,meta,6326229393668,9000.0,0.0,0.0,0.0,0.0,False,
New Sales Campaign,meta,6326194139068,25.0,0.0,0.0,0.0,0.0,False,
MoFu - Reach - Testimonial RT,meta,6326194001268,25.0,0.0,0.0,0.0,0.0,False,
VB - Engagement,meta,6292064174668,0.0,0.0,0.0,0.0,0.0,False,
MoFu - Reach - Testimonial RT,meta,6285988828068,0.0,0.0,0.0,0.0,0.0,False,
ToFu- Mexico - Conversions - Prospecting - Demo Request,meta,6285909253668,0.0,0.0,0.0,0.0,0.0,False,
ToFu- Chile - Conversions - Prospecting - Demo Request,meta,6281931208868,0.0,0.0,0.0,0.0,0.0,False,
MoFu - Reach - Video Views Funnel,meta,6281074317668,0.0,0.0,0.0,0.0,0.0,False,
ToFu- UK - Conversions - Prospecting - Demo Request,meta,6277535898468,0.0,0.0,0.0,0.0,0.0,False,
Booking.com Webinar - 3.22.21,meta,6275534237868,0.0,0.0,0.0,0.0,0.0,False,
ToFu- Dubai - Conversions - Prospecting - Demo Request,meta,6268803216468,0.0,0.0,0.0,0.0,0.0,False,
ToFu-Video Views,meta,6263632957468,1.0,0.0,0.0,0.0,0.0,False,
ToFu - Reach,meta,6258186879268,5.0,0.0,0.0,0.0,0.0,False,
ToFu - Post Engagement,meta,6258185517668,0.0,0.0,0.0,0.0,0.0,False,
Tofu - Conversions - Website Leads Tech Calculator,meta,6253559032268,0.0,0.0,0.0,0.0,0.0,False,
